Odd_H_Bin,Odd_A_Bin,Mean_Goals_H,Mean_Goals_A,Mean_Goals_H_S,Mean_Goals_A_S
"(2.4, 2.5]","(2.8, 2.9]",1.2980295566502462,1.2161383285302594,1.229064039408867,1.2968299711815563
"(2.2, 2.3]","(3.1, 3.2]",1.4346289752650176,1.200836820083682,1.1925795053003534,1.393305439330544
"(3.5, 3.6]","(1.9, 2.0]",1.0642201834862386,1.4931506849315068,1.5596330275229358,1.0776255707762556
"(1.6, 1.7]","(5.4, 5.5]",1.717153284671533,0.927536231884058,0.8923357664233577,1.821256038647343
"(2.3, 2.4]","(2.8, 2.9]",1.2321428571428572,1.2161383285302594,1.0688775510204083,1.2968299711815563
"(1.4, 1.5]","(6.9, 7.0]",2.1237458193979935,0.7357142857142858,0.7625418060200669,2.2857142857142856
"(10.9, 11.0]","(1.2, 1.3]",1.0,2.5319148936170213,2.7777777777777777,0.7659574468085106
"(2.1, 2.2]","(3.1, 3.2]",1.4109848484848484,1.200836820083682,1.0681818181818181,1.393305439330544
"(2.2, 2.3]","(3.0, 3.1]",1.4346289752650176,1.0706713780918728,1.1925795053003534,1.2968197879858658
"(2.0, 2.1]","(3.5, 3.6]",1.4924812030075187,1.114814814814815,1.0601503759398496,1.3592592592592592
"(2.0, 2.1]","(3.7, 3.8]",1.4924812030075187,1.0519187358916477,1.0601503759398496,1.437923250564334
"(1.7, 1.8]","(4.9, 5.0]",1.7216117216117217,0.8042553191489362,0.9120879120879121,1.6851063829787234
"(1.3, 1.4]","(8.4, 8.5]",2.2891156462585034,0.8115942028985508,0.7482993197278912,2.1739130434782608
"(4.4, 4.5]","(1.7, 1.8]",1.0757575757575757,1.6666666666666667,1.5757575757575757,1.0864197530864197
"(2.5, 2.6]","(2.7, 2.8]",1.2472727272727273,1.3106508875739644,1.1054545454545455,1.3136094674556213
"(4.1, 4.2]","(1.9, 2.0]",0.8536585365853658,1.4931506849315068,1.6829268292682926,1.0776255707762556
